,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CLASH,TM-score,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,lDDT,CAD
normalized_rnacomposer_r1156.pdb,21.346,9.880984919163892e-15,0.745,0.882,,0.682,28.651,19.49,0.183,0.096,0.133,0.2,0.304,0.0,0.283,2.196,1.209,2.763,0.538,0.754
normalized_rhofold_r1156.pdb,28.756,0.0002031059562062,0.011,0.0,,0.022,2565.252,66.16,0.07,0.022,0.044,0.082,0.133,0.0,0.139,2.995,2.964,0.686,0.002,0.288
normalized_3drna_r1156_2.pdb,19.048,0.0,0.601,0.736,,0.578,31.702,29.44,0.209,0.067,0.148,0.259,0.363,0.0,0.286,1.968,1.668,2.247,0.325,0.659
normalized_vfoldpipeline_r1156.pdb,33.756,0.2241703155592144,0.636,0.805,,0.576,53.051,23.42,0.154,0.082,0.118,0.185,0.23,0.0,0.205,3.435,1.352,2.771,0.47,0.724
normalized_rnajp_r1156.pdb,26.63,1.197468423419501e-06,0.771,0.863,,0.748,34.547,17.6,0.187,0.082,0.133,0.215,0.319,0.0,0.319,2.718,1.185,5.316,0.023,0.774
normalized_simrna_r1156.pdb,26.013,2.0950726425938981e-07,0.82,0.944,,0.78,31.741,18.11,0.198,0.082,0.141,0.244,0.326,0.0,0.281,2.739,1.254,4.341,0.01,0.796
normalized_trrosettarna_r1156_3.pdb,19.982,0.0,0.468,0.495,,0.489,42.727,34.54,0.118,0.067,0.111,0.126,0.17,0.0,0.218,2.106,1.688,1.829,0.438,0.705
normalized_vfold_r1156_1.pdb,31.038,0.0116544108807947,0.684,0.841,,0.627,45.36,26.58,0.204,0.104,0.156,0.222,0.333,0.0,0.292,3.204,1.361,2.828,0.001,0.753
normalized_isrna_r1156.pdb,27.528,1.2318358747598346e-05,0.722,0.861,,0.674,38.135,15.06,0.206,0.089,0.148,0.259,0.326,0.0,0.258,2.824,1.32,3.886,0.465,0.74
normalized_alphafold3_r1156_4.pdb,22.183,3.2923663795259017e-13,0.824,0.896,,0.809,26.932,11.15,0.343,0.156,0.289,0.43,0.496,0.0,0.412,2.26,1.137,5.301,0.609,0.828
