,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CLASH,TM-score,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,lDDT,CAD
normalized_3drna_r1108_4.pdb,9.317,9.992007221626409e-16,0.819,0.826,0.0,0.841,11.369,30.15,0.457,0.217,0.449,0.536,0.623,0.0,0.408,0.976,1.219,1.465,0.602,0.8
normalized_vfoldpipeline_r1108.pdb,13.023,1.984826358825131e-09,0.606,0.8,,0.532,21.485,32.42,0.341,0.159,0.217,0.333,0.652,0.0,0.249,1.317,1.562,1.246,0.456,0.702
normalized_simrna_r1108.pdb,19.644,0.0136450192379984,0.53,0.298,0.0,0.657,37.093,22.63,0.243,0.159,0.188,0.29,0.333,0.0,0.225,2.013,2.048,2.027,0.02,0.678
normalized_rnajp_r1108.pdb,15.652,4.821365232998698e-06,0.793,0.8,0.0,0.814,19.731,24.37,0.359,0.145,0.261,0.435,0.594,0.0,0.288,1.635,1.317,1.748,0.017,0.762
normalized_rnacomposer_r1108.pdb,21.356,0.1045835598333964,0.698,0.8,0.0,0.679,30.603,26.82,0.283,0.203,0.261,0.304,0.362,0.0,0.26,2.222,1.418,1.082,0.469,0.716
normalized_rhofold_R1108.pdb,15.824,7.486154645186538e-06,0.529,0.554,0.0,0.591,29.902,54.18,0.29,0.087,0.188,0.348,0.536,0.0,0.245,1.585,1.878,0.656,0.376,0.672
normalized_trrosettarna_r1108_1.pdb,5.662,0.0,0.521,0.684,0.0,0.491,10.872,37.31,0.478,0.174,0.246,0.565,0.927,0.0,0.381,0.556,1.54,1.09,0.611,0.818
normalized_isrna_r1108.pdb,13.891,3.275730114937758e-08,0.68,0.8,0.0,0.654,20.432,22.55,0.29,0.116,0.217,0.29,0.536,0.0,0.244,1.449,1.337,1.487,0.509,0.758
normalized_vfold_r1108_2.pdb,20.176,0.0279660083020491,0.437,0.287,0.0,0.562,46.122,29.79,0.21,0.116,0.203,0.232,0.29,0.0,0.241,2.156,2.068,1.394,0.006,0.679
normalized_alphafold3_r1108_5.pdb,14.252,9.82856497300233e-08,0.818,1.0,,0.761,17.428,18.64,0.453,0.203,0.435,0.551,0.623,0.0,0.384,1.486,1.244,2.463,0.581,0.789
